source_log,phase,fold,epoch,total_epochs,steps,epoch_seconds,ms_per_step,auc,hard_accuracy,loss,precision,recall,val_auc,val_hard_accuracy,val_loss,val_precision,val_recall,learning_rate
phase1-fold1-2.txt,phase1_cv,1,1,100,969,260,253,0.5821,0.5859,0.1283,0.6829,0.4042,0.9113,0.8027,0.0577,0.9031,0.68,1e-06
phase1-fold1-2.txt,phase1_cv,1,2,100,969,239,246,0.8984,0.8625,0.0489,0.9144,0.7733,0.9889,0.9725,0.0183,0.9727,0.9725,0.0002008
phase1-fold1-2.txt,phase1_cv,1,3,100,969,238,245,0.9302,0.9068,0.0356,0.9467,0.8181,0.986,0.9589,0.0227,0.9626,0.9552,0.0004006
phase1-fold1-2.txt,phase1_cv,1,4,100,969,239,246,0.9443,0.9235,0.0295,0.9592,0.8359,0.9796,0.9302,0.0258,0.9547,0.9038,0.0006004
phase1-fold1-2.txt,phase1_cv,1,5,100,969,238,246,0.9508,0.9344,0.0258,0.9667,0.846,0.9852,0.943,0.0226,0.9771,0.9079,0.0008002
phase1-fold1-2.txt,phase1_cv,1,6,100,969,242,250,0.9543,0.9444,0.0225,0.9718,0.8528,0.9818,0.9559,0.0219,0.9628,0.9488,0.001
phase1-fold1-2.txt,phase1_cv,1,7,100,969,251,259,0.9576,0.9531,0.0196,0.9758,0.8603,0.9914,0.9534,0.0163,0.9729,0.9333,0.00099385
phase1-fold1-2.txt,phase1_cv,1,8,100,969,245,253,0.9596,0.9605,0.0173,0.9796,0.8679,0.984,0.9416,0.0235,0.9592,0.923,0.00097555
phase1-fold1-2.txt,phase1_cv,1,9,100,969,240,248,0.9621,0.9673,0.0152,0.9836,0.8747,0.9833,0.9264,0.0277,0.974,0.877,0.00094556
phase1-fold1-2.txt,phase1_cv,1,10,100,969,238,246,0.9632,0.9708,0.0139,0.9855,0.8766,0.9671,0.8939,0.035,0.86,0.942,0.0009046
phase1-fold1-2.txt,phase1_cv,1,11,100,969,237,245,0.9635,0.9738,0.0131,0.9879,0.8776,0.9877,0.952,0.0191,0.9682,0.9352,0.0008537
phase1-fold1-2.txt,phase1_cv,1,12,100,969,238,246,0.9654,0.9757,0.0124,0.9892,0.882,0.992,0.9549,0.0171,0.985,0.9243,0.0007941
phase1-fold1-2.txt,phase1_cv,1,13,100,969,237,245,0.9649,0.9778,0.0117,0.9907,0.8804,0.9874,0.9473,0.0208,0.9652,0.9286,0.00072727
phase1-fold1-2.txt,phase1_cv,1,14,100,969,237,245,0.9651,0.9791,0.0111,0.9915,0.8818,0.9914,0.961,0.0176,0.982,0.9397,0.00065485
phase1-fold1-2.txt,phase1_cv,1,15,100,969,237,245,0.9655,0.9809,0.0105,0.9921,0.8824,0.991,0.9543,0.0182,0.9727,0.9352,0.00057864
phase1-fold1-2.txt,phase1_cv,1,16,100,969,237,245,0.9668,0.9819,0.0101,0.9926,0.8841,0.986,0.9423,0.0226,0.9753,0.9081,0.0005005
phase1-fold1-2.txt,phase1_cv,1,17,100,969,238,246,0.9669,0.983,0.0098,0.9936,0.8847,0.9881,0.9516,0.0187,0.9627,0.9401,0.00042236
phase1-fold1-2.txt,phase1_cv,1,18,100,969,237,244,0.9664,0.9839,0.0095,0.9939,0.8845,0.981,0.9368,0.024,0.9505,0.9222,0.00034615
phase1-fold1-2.txt,phase1_cv,1,19,100,969,237,245,0.9667,0.9848,0.0089,0.9944,0.8867,0.9894,0.9586,0.0198,0.9757,0.9409,0.00027373
phase1-fold1-2.txt,phase1_cv,1,20,100,969,238,245,0.9667,0.9853,0.0088,0.9948,0.8854,0.9893,0.9545,0.019,0.9738,0.9345,0.0002069
phase1-fold1-2.txt,phase1_cv,1,21,100,969,237,244,0.9674,0.986,0.0086,0.9953,0.8859,0.9905,0.9529,0.0178,0.9718,0.9333,0.0001473
phase1-fold1-2.txt,phase1_cv,1,22,100,969,238,245,0.9677,0.9867,0.0084,0.9956,0.8863,0.9897,0.9529,0.0196,0.9762,0.9288,9.6396e-05
phase1-fold1-2.txt,phase1_cv,1,23,100,969,238,245,0.9669,0.9871,0.0082,0.9958,0.8855,0.9903,0.9541,0.0194,0.9787,0.9288,5.5442e-05
phase1-fold1-2.txt,phase1_cv,1,24,100,969,239,246,0.9677,0.9874,0.008,0.9961,0.887,0.9901,0.9555,0.019,0.9753,0.935,2.5447e-05
phase1-fold1-2.txt,phase1_cv,1,25,100,969,239,246,0.9678,0.9876,0.008,0.996,0.8867,0.9902,0.955,0.0195,0.9789,0.9305,7.1497e-06
